IDCLASS	WORD01	WORD02	WORD03	WORD04	WORD05	MEANING	STRAT
1	Mean	Median	Variance	Quartile	Boxplot	Putting_it_all_together_and_divide_by_the_total.	Success
2	Median	Maximum	Probability	Sample	NA	As_divided_in_the_middle.	Success
3	Amplitude	Mean	Minimum	NA	NA	The_biggest_subtracted_from_the_lower_value.	Success
4	Maximum	Mode	Variance	Median	Percentile	The_largest_of_all_values.	Success
5	Percentile	Median	Amplitude	NA	NA	Division_of_the_data_into_ten_equal_parts.	Success
6	Mode	Quartile	Minimum	Sample	NA	The_value_that_appears_most_of_all.	Success
7	Outlier	Boxplot	Mean	NA	NA	A_value_that_flows_out_of_the_standards.	Success
8	Variance	Mode	Sample	NA	NA	The_distance_between_values.	Success
9	Maximum	Probability	Median	NA	NA	The_last_value_of_the_data_sorted.	Success
10	Minimum	Mean	Quartile	NA	NA	The_lowest_value_that_appears.	Success
11	Mode	Variance	Histogram	NA	NA	The_data_more_frequently.	Success
12	Inference	Median	Bayesian	Probability	Expection	Find_something_using_Statistics.	Success
13	Median	Minimum	Maximum	Amplitude	NA	About_fifty_percent_of_the_data.	Success
14	Median	Inference	Mean	Percentile	Outlier	The_point_that_divides_the_bank_in_half.	Success
15	Mean	Amplitude	Expection	NA	NA	As_best_represents_Statistics.	Success
16	Variance	Mode	Minimum	Correlation	NA	The_distance_of_the_data_in_relation_to_the_average.	Success
17	Maximum	Sample	Mean	NA	NA	The_maximum_value_of_the_data.	Success
18	Mean	Histogram	Inference	Data	NA	It_can_be_arithmetic_or_geometric_or_harmonic.	Success
19	Mode	Minimum	Percentile	Random	Probability	The_value_that_appears_more_often.	Success
20	Median	Quartile	Correlation	NA	NA	It_is_equal_to_the_second_quartile.	Success
21	Minimum	Maximum	Estimator	NA	NA	The_minimum_value_of_the_data.	Success
22	Median	Bayesian	Amplitude	Inference	NA	Box_plot_split_in_half.	Success
23	Variance	Sample	NA	NA	NA	It_is_the_standard_deviation_squared.	Success
24	Mean	Sample	Minimum	NA	NA	In_most_cases_it_is_the_Hope.	Success
25	Mode	Data	Regression	Expection	Inference	I_think_it_is_nothing_Fashion.	Success
26	Mean	Variance	Expection	NA	NA	It_is_where_is_concentrated_most.	Failure
27	Probability	Median	Correlation	NA	NA	It_is_chance_of_something_occurring.	Failure
28	Maximum	Boxplot	Median	NA	NA	Something_very_strong_and_important.	Failure
29	Variance	Amplitude	Parameter	Median	Quartile	I_can_not_explain_very_well_what_it_is.	Failure
30	Median	Random	Significance	NA	NA	I_think_it_is_very_similar_to_the_average.	Failure
31	Probability	Percentile	Inference	Estimator	Hypothesis	If_it_is_the_same_for_all_and_so_the_data_is_not_addicted.	Failure
32	Sample	Mode	Data	NA	NA	It_is_a_part_of_the_universe_or_population.	Failure
33	Minimum	Outlier	Hypothesis	Significance	NA	The_least_representative_value_of_the_data.	Failure
34	Mean	Regression	Inference	NA	NA	I_think_it_is_the_sum_of_all_divided_by_something.	Failure
35	Mean	Expection	Histogram	Correlation	NA	It_is_the_center_of_the_Histogram.	Failure
36	Median	Expection	Maximum	NA	NA	One_of_the_most_important_steps_in_tests_Non_parametric.	Failure
37	Inference	Quartile	Variance	Confidence	NA	Deduct_about_something_on_the_sample.	Failure
38	Minimum	Expection	Percentile	NA	NA	The_given_lower_seat.	Failure
39	Median	Maximum	Outlier	Data	NA	Half_of_the_ordered_values.	Failure
40	Data	Mean	NA	NA	NA	Set_of_information_about_something.	Failure
41	Mode	NA	NA	NA	NA	As_important_as_the_Average_and_Median.	Failure
42	Inference	Median	NA	NA	NA	Set_way_to_find_good_estimators.	Failure
43	Boxplot	Data	Variance	Hypothesis	NA	Graphic_represented_by_the_Median_and_the_quartiles.	Failure
44	Median	Percentile	NA	NA	NA	On_the_order_Percentile_fifty.	Failure
45	Sample	Mean	Confidence	NA	NA	Set_of_elements_we_seek_information.	Failure
46	Probability	Variance	NA	NA	NA	Set_events_randomly.	Failure
47	Mean	Parameter	Random	Regression	Outlier	Main_measure_of_all_distributions.	Failure
48	Regression	Histogram	Correlation	NA	NA	Set_in_a_variable_before_others.	Failure
49	Hypothesis	Parameter	Amplitude	NA	NA	Something_we_want_to_try_to_verify_some_information.	Failure
50	Quartile	Amplitude	NA	NA	NA	Division_of_the_data_into_four_parts.	Failure
